first_name;last_name;team_id;country_id;speciality_id;image_url;speciality_id_2
Romain;Bardet;1;54;4;/;6
François;Bidard;1;54;1;/;1
Geoffrey;Bouchard;1;54;1;/;1
Clément;Champoussin;1;54;4;/;1
Mikaël;Cherel;1;54;1;/;1
Clément;Chevrier;1;54;1;/;1
Benoît;Cosnefroy;1;54;1;/;1
Silvan;Dillier;1;196;3;/;1
Axel;Domont;1;54;1;/;1
Julien;Duval;1;54;1;/;1
Mathias;Frank;1;196;6;/;4
Tony;Gallopin;1;54;2;/;5
Ben;Gastauer;1;98;1;/;1
Alexandre;Geniez;1;54;4;/;1
Dorian;Godon;1;54;1;/;1
Alexis;Gougeard;1;54;2;/;3
Jaakko;Hänninen;1;53;1;/;1
Quentin;Jauregui;1;54;1;/;1
Pierre;Latour;1;54;4;/;6
Oliver;Naesen;1;15;3;/;1
Lawrence;Naesen;1;15;1;/;1
Aurélien;Paret-Pientre;1;54;1;/;1
Nans;Peters;1;54;2;/;1
Harry;Tanfield;1;185;1;/;1
Stijn;Vandenbergh;1;15;3;/;1
Andrea;Vendrame;1;75;7;/;1
Clément;Venturini;1;54;7;/;1
Alexis;Vuillermoz;1;54;5;/;2
Larry;Warbasse;1;187;4;/;1
Alex;Aranburu;2;164;5;/;7
Zhandos;Bizhigitov;2;83;1;/;1
Manuele;Boaro;2;75;8;/;1
Hernando;Bohórquez;2;32;1;/;1
Rodrigo;Contreras;2;32;1;/;1
Laurens;de Vreese;2;15;1;/;1
Fabio;Felline;2;75;5;/;7
Daniil;Fominykh;2;83;1;/;1
Omar;Fraile;2;164;2;/;4
Jakob;Fuglsang;2;39;6;/;5
Yevgeniy;Gidich;2;83;1;/;1
Jonas;Gregaard;2;39;1;/;1
Dmitriy;Gruzdev;2;83;8;/;1
Hugo;Houle;2;28;1;/;1
Ion;Izagirre;2;164;6;/;5
Gorka;Izagirre;2;164;5;/;2
Merhawi;Kudus;2;48;4;/;2
MiguelÁngel;Lopez;2;32;4;/;6
Alexey;Lutsenko;2;83;5;/;6
Davide;Martinelli;2;75;7;/;1
Yuriy;Natarov;2;83;1;/;1
Vadim;Pronskiy;2;83;1;/;1
Óscar;Rodríguez;2;164;1;/;1
LuisLeón;Sánchez;2;164;5;/;2
Nikita;Stalnov;2;83;1;/;1
Harold;Tejada;2;32;1;/;1
Aleksandr;Vlasov;2;145;1;/;1
Artyom;Zakharov;2;83;1;/;1
Yukiya;Arashiro;3;78;1;/;1
Enrico;Battaglin;3;75;2;/;1
Phil;Bauhaus;3;43;1;/;1
Pello;Bilbao;3;164;4;/;1
Grega;Bole;3;160;5;/;7
Santiago;Buitrago;3;32;1;/;1
Eros;Capecchi;3;75;1;/;1
Damiano;Caruso;3;75;4;/;1
Mark;Cavendish;3;185;7;/;1
Sonny;Colbrelli;3;75;5;/;7
Scott;Davies;3;185;1;/;1
ChunKai;Feng;3;31;1;/;1
Iván;García Cortina;3;164;2;/;7
Marco;Haller;3;132;1;/;1
Heinrich;Haussler;3;9;2;/;5
Kevin;Inkelaar;3;119;1;/;1
Mikel;Landa;3;164;4;/;6
Matej;Mohoric;3;160;6;/;5
Domen;Novak;3;160;1;/;1
Mark;Padun;3;129;1;/;1
Hermann;Pernsteiner;3;132;1;/;1
Luka;Pibernik;3;160;1;/;1
Wout;Poels;3;119;4;/;6
Marcel;Sieberg;3;43;1;/;1
Dylan;Teuns;3;15;5;/;4
Jan;Tratnik;3;160;1;/;1
Rafael;Valls;3;164;1;/;1
Stephen;Williams;3;185;1;/;1
Alfred;Wright;3;185;1;/;1
Pascal;Ackermann;4;43;7;/;1
Erik;Baska;4;161;1;/;1
Cesare;Benedetti;4;75;1;/;1
Maciej;Bodnar;4;141;8;/;1
Emanuel;Buchmann;4;43;6;/;4
Marcus;Burghardt;4;43;1;/;1
Jempy;Drucker;4;98;1;/;1
Matteo;Fabbro;4;75;1;/;1
Patrick;Gamper;4;132;1;/;1
Oscar;Gatto;4;75;1;/;1
Felix;Grossschartner;4;132;1;/;1
Lennard;Kämna;4;43;1;/;1
Patrick;Konrad;4;132;5;/;1
Martin;Laas;4;49;1;/;1
Rafal;Majka;4;141;6;/;4
Jay;McCarthy;4;9;1;/;1
Gregor;Mühlberger;4;132;1;/;1
Daniel;Oss;4;75;3;/;2
Pawel;Poljanski;4;141;1;/;1
Lukas;Pöstlberger;4;132;1;/;1
Peter;Sagan;4;161;7;/;5
Juraj;Sagan;4;161;1;/;1
Maximilian;Schachmann;4;43;6;/;5
Ide;Schelling;4;119;1;/;1
Andreas;Schillinger;4;43;1;/;1
Michael;Schwarzmann;4;43;1;/;1
Rüdiger;Selig;4;43;1;/;1
Will;Barta;5;187;1;/;1
Patrick;Bevin;5;122;1;/;1
Josef;Cerný;5;176;1;/;1
Víctor;de la Parte;5;164;1;/;1
Alessandro;de Marchi;5;75;2;/;1
Simon;Geschke;5;43;1;/;1
Kamil;Gradek;5;141;1;/;1
Jan;Hirt;5;176;4;/;1
Jonas;Koch;5;43;1;/;1
Pavel;Kochetkov;5;145;1;/;1
Jakub;Mareczko;5;75;7;/;1
Fausto;Masnada;5;75;2;/;1
Kamil;Malecki;5;141;1;/;1
Michal;Paluta;5;141;1;/;1
Serge;Pauwels;5;15;2;/;1
Joey;Rosskopf;5;187;8;/;1
Szymon;Sajnok;5;141;1;/;1
Michael;Schär;5;196;1;/;1
Matteo;Trentin;5;75;7;/;5
Attila;Valter;5;67;1;/;1
Greg;van Avermaet;5;15;3;/;5
Gijs;van Hoecke;5;15;1;/;1
Nathan;van Hooydonck;5;15;1;/;1
Guillaume;van Keirsbulck;5;15;3;/;1
FranciscoJosé;Ventoso;5;164;5;/;7
Lukasz;Wisniowski;5;141;1;/;1
Ilnur;Zakarin;5;145;6;/;4
Georg;Zimmerman;5;43;1;/;1
Piet;Allegaert;6;15;3;/;1
Fernando;Barceló;6;164;1;/;1
Natnael;Berhane;6;48;2;/;4
Dimitri;Claeys;6;15;1;/;1
Simone;Consonni;6;75;7;/;1
Nicolas;Edet;6;54;2;/;1
Eddy;Finé;6;54;1;/;1
Nathan;Haas;6;9;5;/;1
Jesper;Hansen;6;39;1;/;1
Jesús;Herrada;6;164;4;/;1
José;Herrada;6;164;1;/;1
Victor;Lafay;6;54;1;/;1
Christophe;Laporte;6;54;7;/;1
Mathias;le Turnier;6;54;1;/;1
Cyril;Lemoine;6;54;1;/;1
Guillaume;Martin;6;54;4;/;1
LuisÁngel;Maté;6;164;2;/;1
Marco;Mathis;6;43;8;/;1
Emmanuel;Morin;6;54;1;/;1
Anthony;Perez;6;54;5;/;1
Pierre-Luc;Périchon;6;54;1;/;1
Stéphane;Rossetto;6;54;1;/;1
Fabio;Sabatini;6;75;1;/;1
Damien;Touzé;6;54;1;/;1
Kenneth;Vanbilsen;6;15;1;/;1
Julien;Vermote;6;15;1;/;1
Elia;Viviani;6;75;7;/;1
Attilio;Viviani;6;75;1;/;1
Julian;Alaphillipe;7;54;5;/;1
João;Almeida;7;142;1;/;1
Shane;Archbold;7;122;1;/;1
Kasper;Asgreen;7;39;3;/;8
Andrea;Bagioli;7;75;1;/;1
Davide;Ballerini;7;75;2;/;3
Sam;Bennett;7;68;7;/;1
Mattia;Cattaneo;7;75;1;/;1
Rémi;Cavagna;7;54;1;/;1
Tim;Declerq;7;15;1;/;1
Dries;Devenyns;7;15;2;/;5
Remco;Evenepoel;7;15;5;/;8
Ian;Garrison;7;187;1;/;1
ÁlvaroJosé;Hodeg;7;32;7;/;1
MikkelFrolich;Honoré;7;39;1;/;1
Fabio;Jakobsen;7;119;7;/;1
Bob;Jungels;7;98;5;/;3
Iljo;Keisse;7;15;1;/;1
James;Knox;7;185;4;/;1
Yves;Lampaert;7;15;2;/;1
Michael;Morkov;7;39;1;/;1
Florian;Sénéchal;7;54;1;/;1
Pieter;Serry;7;15;1;/;1
