id,stage_nr,race_id,start_city,finish_city,distance,date,stage_type_id
1,1,1,Nice,Nice,156,2020-08-29,1
2,2,1,Nice,Nice,187,2020-08-30,1
3,3,1,Nice,Sisteron,198,2020-08-31,1
4,4,1,Sisteron,Orcières-Merlette,157,2020-09-01,1
5,5,1,Gap,Privas,183,2020-09-02,1
6,6,1,Le Teil,Mont Aigoual,191,2020-09-03,1
7,7,1,Millau,Lavaur,168,2020-09-04,1
8,8,1,Cazères-sur-Garonne,Loudenvielle,140,2020-09-05,1
9,9,1,Pau,Laruns,154,2020-09-06,1
10,10,1,Île d Oléron Le Château-d Oléron,Île de Ré Saint-Martin-de-Ré,170,2020-09-08,1
11,11,1,Châtelaillon-Plage,Poitiers,167,2020-09-09,1
12,12,1,Chauvigny,Sarran Corrèze,218,2020-09-10,1
13,13,1,Châtel-Guyon,Puy Mary Cantal,191,2020-09-11,1
14,14,1,Clermont-Ferrand,Lyon,197,2020-09-12,1
15,15,1,Lyon,Grand Colombier,175,2020-09-13,1
16,16,1,La Tour-du-Pin,Villard-de-Lans,164,2020-09-15,1
17,17,1,Grenoble,Méribel Col de la Loze,168,2020-09-16,1
18,18,1,Méribel,La Roche-sur-Foron,168,2020-09-17,1
19,19,1,Bourg-en-Bresse,Champagnole,160,2020-09-18,1
20,20,1,Lure,La Planche des Belles Filles,36,2020-09-19,1
21,21,1,Mantes-la-Jolie,Paris Champs-Élysées,122,2020-09-20,1
